nameWithOwner,url,stargazerCount,primaryLanguage,createdAt,updatedAt,defaultBranchRef,releases,pullRequests,issues,closedIssues,age_days,days_since_update,language,issues_closed_ratio,pr_count,release_count
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,412323,{'name': 'TypeScript'},2014-12-24 17:49:19+00:00,2025-03-14 21:35:46+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 24557},{'totalCount': 19027},{'totalCount': 18861},3733.1629913099537,0.00573436550925926,TypeScript,0.9912755557891417,24557,0
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,357032,{'name': 'Markdown'},2018-05-09 12:03:18+00:00,2025-03-14 21:41:11+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 140},{'totalCount': 740},{'totalCount': 545},2501.4032806618056,0.0019727914351851854,Markdown,0.7364864864864865,140,0
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,353096,{'name': 'HTML'},2013-10-11 06:50:37+00:00,2025-03-14 21:37:18+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 6791},{'totalCount': 1167},{'totalCount': 1136},4172.620421865509,0.004669550694444444,HTML,0.9734361610968295,6791,0
sindresorhus/awesome,https://github.com/sindresorhus/awesome,351403,,2014-07-11 13:42:37+00:00,2025-03-14 21:38:21+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 664},{'totalCount': 349},{'totalCount': 336},3899.3343107543983,0.003940384027777778,None,0.9627507163323782,664,0
public-apis/public-apis,https://github.com/public-apis/public-apis,332623,{'name': 'Python'},2016-03-20 23:49:42+00:00,2025-03-14 21:39:06+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 1872},{'totalCount': 660},{'totalCount': 603},3280.91272510625,0.0034195506944444446,Python,0.9136363636363637,1872,0
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,313203,,2016-06-06 02:34:12+00:00,2025-03-14 21:29:44+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 415},{'totalCount': 510},{'totalCount': 457},3203.798488995139,0.009924180324074074,None,0.8960784313725491,415,0
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,311678,{'name': 'TypeScript'},2017-03-15 13:45:52+00:00,2025-03-14 21:21:30+00:00,{'name': 'master'},{'totalCount': 1},{'totalCount': 3358},{'totalCount': 2695},{'totalCount': 2538},2921.332053809954,0.015641772916666668,TypeScript,0.9417439703153989,3358,1
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,291857,{'name': 'Python'},2017-02-26 16:15:28+00:00,2025-03-14 21:39:35+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 199},{'totalCount': 323},{'totalCount': 87},2938.228164921065,0.0030839025462962963,Python,0.2693498452012384,199,0
996icu/996.ICU,https://github.com/996icu/996.ICU,270424,,2019-03-26 07:31:14+00:00,2025-03-14 21:32:08+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 1068},{'totalCount': 0},{'totalCount': 0},2180.5922158469907,0.008257513657407407,None,0.0,1068,0
vinta/awesome-python,https://github.com/vinta/awesome-python,237090,{'name': 'Python'},2014-06-27 21:00:06+00:00,2025-03-14 21:29:53+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 543},{'totalCount': 0},{'totalCount': 0},3913.030502884028,0.009820013657407407,Python,0.0,543,0
