nameWithOwner,url,stargazerCount,primaryLanguage,createdAt,updatedAt,defaultBranchRef,releases,pullRequests,issues,closedIssues,age_days,days_since_update,language,issues_closed_ratio,pr_count
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,410028,{'name': 'TypeScript'},2014-12-24 17:49:19+00:00,2025-02-15 01:28:10+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 24319},{'totalCount': 18889},{'totalCount': 18725},3705.3459317556253,0.027285922291666667,TypeScript,0.9913176981311874,24319
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,350393,{'name': 'HTML'},2013-10-11 06:50:37+00:00,2025-02-15 02:01:34+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 6787},{'totalCount': 1159},{'totalCount': 1130},4144.8033623111805,0.0040914778472222225,HTML,0.9749784296807593,6787
sindresorhus/awesome,https://github.com/sindresorhus/awesome,346997,,2014-07-11 13:42:37+00:00,2025-02-15 01:53:58+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 661},{'totalCount': 347},{'totalCount': 335},3871.5172512000695,0.009369255625,None,0.9654178674351584,661
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,333904,{'name': 'Markdown'},2018-05-09 12:03:18+00:00,2025-02-15 02:02:57+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 140},{'totalCount': 725},{'totalCount': 534},2473.586221107477,0.003130829699074074,Markdown,0.736551724137931,140
public-apis/public-apis,https://github.com/public-apis/public-apis,327510,{'name': 'Python'},2016-03-20 23:49:42+00:00,2025-02-15 02:02:03+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 1872},{'totalCount': 651},{'totalCount': 603},3253.0956655519212,0.0037558296990740743,Python,0.9262672811059908,1872
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,311878,,2016-06-06 02:34:12+00:00,2025-02-14 23:44:35+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 415},{'totalCount': 509},{'totalCount': 458},3175.98142944081,0.09921879266203704,None,0.899803536345776,415
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,308320,{'name': 'TypeScript'},2017-03-15 13:45:52+00:00,2025-02-15 01:54:20+00:00,{'name': 'master'},{'totalCount': 1},{'totalCount': 3314},{'totalCount': 2656},{'totalCount': 2521},2893.514994255625,0.00911462599537037,TypeScript,0.9491716867469879,3314
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,289110,{'name': 'Python'},2017-02-26 16:15:28+00:00,2025-02-15 01:54:07+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 199},{'totalCount': 318},{'totalCount': 87},2910.411105366736,0.009265088958333334,Python,0.27358490566037735,199
996icu/996.ICU,https://github.com/996icu/996.ICU,270252,,2019-03-26 07:31:14+00:00,2025-02-15 01:36:39+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 1068},{'totalCount': 0},{'totalCount': 0},2152.7751562926624,0.021394718587962963,None,0.0,1068
vinta/awesome-python,https://github.com/vinta/awesome-python,233950,{'name': 'Python'},2014-06-27 21:00:06+00:00,2025-02-15 02:04:02+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 543},{'totalCount': 0},{'totalCount': 0},3885.213443329699,0.002378514884259259,Python,0.0,543
facebook/react,https://github.com/facebook/react,232260,{'name': 'JavaScript'},2013-05-24 16:15:54+00:00,2025-02-15 01:35:15+00:00,{'name': 'main'},{'totalCount': 103},{'totalCount': 11340},{'totalCount': 13506},{'totalCount': 12728},4284.41080444081,0.022366940810185185,JavaScript,0.9423959721605213,11340
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,217562,,2017-04-12 05:07:46+00:00,2025-02-15 01:58:38+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 182},{'totalCount': 190},{'totalCount': 78},2865.8747859222917,0.006128514884259259,None,0.4105263157894737,182
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,216502,,2015-06-01 02:33:17+00:00,2025-02-15 02:01:31+00:00,{'name': 'master'},{'totalCount': 1},{'totalCount': 2393},{'totalCount': 803},{'totalCount': 803},3546.9820660148844,0.004126200069444445,None,1.0,2393
vuejs/vue,https://github.com/vuejs/vue,208357,{'name': 'TypeScript'},2013-07-29 03:24:51+00:00,2025-02-15 02:02:20+00:00,{'name': 'main'},{'totalCount': 249},{'totalCount': 1136},{'totalCount': 10017},{'totalCount': 9663},4218.946255829699,0.003559070439814815,TypeScript,0.9646600778676251,1136
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,197325,{'name': 'Python'},2016-07-16 09:44:01+00:00,2025-02-15 02:04:53+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 2911},{'totalCount': 1556},{'totalCount': 1492},3135.682945644514,0.0017882371064814814,Python,0.9588688946015425,2911
