clone_url,created_at,stars,releases
https://github.com/kdn251/interviews.git,2017-02-14T18:19:25Z,64025,0
https://github.com/TheAlgorithms/Java.git,2016-07-16T10:21:02Z,61140,0
https://github.com/Stirling-Tools/Stirling-PDF.git,2023-01-27T18:22:42Z,54584,30
https://github.com/eugenp/tutorials.git,2013-04-29T18:26:36Z,37101,0
https://github.com/halo-dev/halo.git,2018-03-21T12:56:52Z,35031,30
https://github.com/xkcoding/spring-boot-demo.git,2017-11-10T06:27:29Z,33514,0
https://github.com/TeamNewPipe/NewPipe.git,2015-09-03T23:39:26Z,33284,30
https://github.com/YunaiV/ruoyi-vue-pro.git,2021-01-24T03:18:25Z,29840,30
https://github.com/wuyouzhuguli/SpringAll.git,2018-05-02T02:48:44Z,28677,0
https://github.com/xuxueli/xxl-job.git,2015-11-28T12:59:34Z,28480,30
https://github.com/crossoverJie/JCSprout.git,2017-12-17T09:06:50Z,27110,0
https://github.com/DrKLO/Telegram.git,2013-10-25T14:08:10Z,25927,30
https://github.com/jenkinsci/jenkins.git,2010-11-22T21:21:23Z,23771,30
https://github.com/Anuken/Mindustry.git,2017-04-30T01:24:29Z,23493,30
https://github.com/ashishps1/awesome-system-design-resources.git,2023-10-25T01:50:42Z,21714,0
https://github.com/openjdk/jdk.git,2018-09-17T12:29:20Z,20653,0
https://github.com/dataease/dataease.git,2021-02-02T04:10:21Z,19673,30
https://github.com/linlinjava/litemall.git,2018-03-22T16:42:30Z,19554,8
https://github.com/LSPosed/LSPosed.git,2020-12-12T08:39:37Z,19510,30
https://github.com/williamfiset/Algorithms.git,2017-03-18T02:50:46Z,17766,0
https://github.com/facebook/fresco.git,2015-03-02T09:58:04Z,17099,30
https://github.com/YunaiV/yudao-cloud.git,2019-05-02T16:06:49Z,16923,20
https://github.com/justauth/JustAuth.git,2019-01-31T09:42:20Z,16812,30
https://github.com/winterbe/java8-tutorial.git,2014-03-16T17:25:43Z,16773,0
https://github.com/shuzheng/zheng.git,2016-10-04T10:07:06Z,16710,0
https://github.com/android-hacker/VirtualXposed.git,2017-12-01T09:00:58Z,15629,30
https://github.com/gyoogle/tech-interview-for-developer.git,2019-06-09T04:42:57Z,15534,0
https://github.com/mockito/mockito.git,2012-10-13T20:27:12Z,15090,30
