id;full_name;description;language;stargazers_count;forks_count;open_issues_count;pr_count
28457823;freeCodeCamp/freeCodeCamp;freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.;TypeScript;415844;39710;253;456
21737465;sindresorhus/awesome;😎 Awesome lists about all kinds of interesting topics;;355141;28876;53;279
13491895;EbookFoundation/free-programming-books;:books: Freely available programming books;HTML;354584;63163;83;188
54346799;public-apis/public-apis;A collective list of free APIs;Python;335209;35460;439;289
85077558;kamranahmedse/developer-roadmap;Interactive roadmaps, guides and other educational content to help developers grow in their careers.;TypeScript;313371;40771;192;318
83222441;donnemartin/system-design-primer;Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.;Python;295793;49171;483;183
21289110;vinta/awesome-python;An opinionated list of awesome Python frameworks, libraries, software and resources.;Python;239687;25515;460;119
10270250;facebook/react;The library for web and native user interfaces.;JavaScript;234275;48167;974;397
36633370;awesome-selfhosted/awesome-selfhosted;A list of Free Software network services and web applications which can be hosted on your own servers;;223865;10474;1;389
63476337;TheAlgorithms/Python;All Algorithms implemented in Python;Python;199239;46556;367;238
291137;ohmyzsh/ohmyzsh;🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up w...;Shell;177483;26042;472;296
614765452;Significant-Gravitas/AutoGPT;AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.;Python;174254;45543;223;416
2126244;twbs/bootstrap;The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.;JavaScript;172098;79073;646;343
41881900;microsoft/vscode;Visual Studio Code;TypeScript;169671;31414;9764;572
31792824;flutter/flutter;Flutter makes it easy and fast to build beautiful apps for mobile and beyond;Dart;169624;28317;13142;568
1062897;github/gitignore;A collection of useful .gitignore templates;;165569;83085;501;178
527591471;AUTOMATIC1111/stable-diffusion-webui;Stable Diffusion web UI;Python;150832;28085;2385;379
6498492;airbnb/javascript;JavaScript Style Guide;JavaScript;146480;26732;171;335
155220641;huggingface/transformers;🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.;Python;142604;28563;1725;491
21540759;avelino/awesome-go;A curated list of awesome Go frameworks, libraries and software;Go;141412;12199;120;251
658928958;ollama/ollama;Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, and other large language models.;Go;136463;11340;1732;453
1039520;ytdl-org/youtube-dl;Command-line program to download videos from YouTube.com and other video sites;Python;135013;10276;4183;202
70107786;vercel/next.js;The React Framework;JavaScript;130887;28082;3187;475
62607227;yangshun/tech-interview-handbook;💯 Curated coding interview preparation materials for busy software engineers;TypeScript;125074;15275;53;171
112507086;Chalarangelo/30-seconds-of-code;Coding articles to level up your development skills;JavaScript;123304;12127;0;426
111583593;Genymobile/scrcpy;Display and control your Android device;C;120253;11336;2321;102
184456251;microsoft/PowerToys;Windows system utilities to maximize productivity;C#;117109;6922;6326;536
9384267;electron/electron;:electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS;C++;116269;15977;963;580
