repo_name;pr_number;title;body;language;created_at;closed_at;merged_at;state;merged;review_count;files_changed;additions;deletions;comments;review_comments;time_to_close_hours;participant_count
freeCodeCamp/freeCodeCamp;59382;chore(tools): Ignore white space in challenge id testing;"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [X] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [X] I have read and followed...";;2025-03-21T16:35:18+00:00;2025-03-21T18:11:42+00:00;2025-03-21T18:11:42+00:00;closed;True;2;1;4;2;0;1;1.606666666666667;3
sindresorhus/awesome;3341;Add missing period for consistency in the Code-of-Conduct.md section;"Added a missing period at the end of the attribution sentence in the Code-of-Conduct.md section to maintain consistency with the rest of the document. Proper punctuation at the end of a sentence ensures readability and adheres to standard English writing conventions.

<!-- Congrats on creating an ...";;2025-01-23T07:41:57+00:00;2025-01-23T08:49:34+00:00;;closed;False;2;1;1;1;1;0;1.1269444444444443;3
ohmyzsh/ohmyzsh;13021;fix(rand-qoute): Fix url for plugin (now uses strict https);"## Standards checklist:

<!-- Fill with an x the ones that apply. Example: [x] -->

- [x] The PR title is descriptive.
- [x] The PR doesn't replicate another PR which is already open.
- [x] I have read the contribution guide and followed all the instructions.
- [x] The code follows the code s...";;2025-03-19T11:33:46+00:00;2025-03-20T10:22:13+00:00;2025-03-20T10:22:13+00:00;closed;True;1;1;1;1;0;0;22.8075;2
Significant-Gravitas/AutoGPT;9672;[Snyk] Security upgrade next from 14.2.23 to 14.2.25;"![snyk-top-banner](https://redirect.github.com/andygongea/OWASP-Benchmark/assets/818805/c518c423-16fe-447e-b67f-ad5a49b5d123)

### Snyk has created this PR to fix 1 vulnerabilities in the yarn dependencies of this project.

#### Snyk changed the following file(s):

- `autogpt_platform/frontend/packa...";;2025-03-22T08:59:08+00:00;2025-03-23T23:48:24+00:00;2025-03-23T23:48:24+00:00;closed;True;1;2;63;63;5;0;38.82111111111111;6
flutter/flutter;165770;Roll Skia from d6f07ec0bc1a to cee5257a48a2 (1 revision);"
https://skia.googlesource.com/skia.git/+log/d6f07ec0bc1a..cee5257a48a2

2025-03-24 skia-autoroll@skia-public.iam.gserviceaccount.com Roll vulkan-deps from 9bd06de7d345 to 5ad52bb056fe (1 revision)

If this roll has caused a breakage, revert this CL and stop the roller
using the controls here:
https...";;2025-03-24T00:49:18+00:00;2025-03-24T02:48:04+00:00;2025-03-24T02:48:04+00:00;closed;True;1;1;1;1;2;0;1.9794444444444443;3
microsoft/vscode;244405;Ensure internal Ids are in sync for new cells inseretd by user;"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the...";;2025-03-24T01:21:27+00:00;2025-03-24T04:27:23+00:00;2025-03-24T04:27:23+00:00;closed;True;2;2;63;15;0;0;3.098888888888889;2
airbnb/javascript;3102;Update base.js;Modify packages/eslint-config-airbnb/base.js to include the new rule.;;2025-03-05T16:04:00+00:00;2025-03-05T18:14:53+00:00;;closed;False;1;1;5;2;0;0;2.181388888888889;2
huggingface/transformers;36882;Gemma 3 tests expect greedy decoding;"# What does this PR do?

Slow tests in gemma 3 expect greedy decoding. Recently hub config has changed https://huggingface.co/google/gemma-3-4b-pt/commit/2166bd1fba050eab3ed4fdd0b591ad1e11c96802 so it is preferred to enforce greedy decoding.";;2025-03-21T10:21:37+00:00;2025-03-21T11:36:39+00:00;2025-03-21T11:36:39+00:00;closed;True;1;1;6;1;2;0;1.2505555555555556;4
avelino/awesome-go;5638;Bump golang.org/x/net from 0.33.0 to 0.36.0;"Bumps [golang.org/x/net](https://github.com/golang/net) from 0.33.0 to 0.36.0.
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/golang/net/commit/85d1d54551b68719346cb9fec24b911da4e452a1""><code>85d1d54</code></a> go.mod: update golang.org/x dependencies</li>
<li><a href=""htt...";;2025-03-13T01:38:58+00:00;2025-03-14T02:31:42+00:00;2025-03-14T02:31:41+00:00;closed;True;1;2;13;12;1;0;24.878888888888888;3
ollama/ollama;9931;ollama: fix file descriptor management in Pull;"Close chunked writers as soon as downloads complete, rather than deferring closure until Pull exits. This prevents exhausting file descriptors when pulling many layers.

Instead of unbounded defers, use a WaitGroup and background goroutine to close each chunked writer as soon as its downloads fini...";;2025-03-21T21:39:57+00:00;2025-03-21T23:16:38+00:00;2025-03-21T23:16:38+00:00;closed;True;1;1;31;25;0;0;1.611388888888889;2
