API_Type,Trial,Response_Time,Response_Size
REST,1,0.36074137687683105,6719
GraphQL,1,0.32726621627807617,51
REST,2,0.305572509765625,6719
GraphQL,2,0.43813180923461914,51
REST,3,0.3184390068054199,6719
GraphQL,3,0.34648776054382324,51
REST,4,0.33299779891967773,6719
GraphQL,4,0.3596365451812744,51
REST,5,0.2965397834777832,6719
GraphQL,5,0.342313289642334,51
REST,6,0.3258631229400635,6719
GraphQL,6,0.3460578918457031,51
REST,7,0.32530641555786133,6719
GraphQL,7,0.3275752067565918,51
REST,8,0.3588709831237793,6719
GraphQL,8,0.3583970069885254,51
REST,9,0.31217384338378906,6719
GraphQL,9,0.31017136573791504,51
REST,10,0.34650206565856934,6719
GraphQL,10,0.2869138717651367,51
REST,11,0.32552266120910645,6719
GraphQL,11,0.49042367935180664,51
REST,12,0.28469395637512207,6719
GraphQL,12,0.3101541996002197,51
REST,13,0.45535850524902344,6719
GraphQL,13,0.3066136837005615,51
REST,14,0.2971792221069336,6719
GraphQL,14,0.3656463623046875,51
REST,15,0.35012364387512207,6719
GraphQL,15,0.3401947021484375,51
REST,16,0.4281628131866455,6719
GraphQL,16,0.29629993438720703,51
REST,17,0.34226202964782715,6719
GraphQL,17,0.32347583770751953,51
REST,18,0.3507881164550781,6719
GraphQL,18,0.527808427810669,51
REST,19,0.3096790313720703,6719
GraphQL,19,0.27479982376098633,51
REST,20,0.3019886016845703,6719
GraphQL,20,0.33883047103881836,51
REST,21,0.30285072326660156,6719
GraphQL,21,0.3021843433380127,51
REST,22,0.28490781784057617,6719
GraphQL,22,0.400787353515625,51
REST,23,0.31557798385620117,6719
GraphQL,23,0.2900350093841553,51
REST,24,0.29712653160095215,6719
GraphQL,24,0.347247838973999,51
REST,25,0.340498685836792,6719
GraphQL,25,0.32866430282592773,51
REST,26,0.32507753372192383,6719
GraphQL,26,0.33976006507873535,51
REST,27,0.34087371826171875,6719
GraphQL,27,0.3045237064361572,51
REST,28,0.3098444938659668,6719
GraphQL,28,0.35820484161376953,51
REST,29,0.3303196430206299,6719
GraphQL,29,0.34192728996276855,51
REST,30,0.289661169052124,6719
GraphQL,30,0.35352134704589844,51
